"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Similarity Match","No. Near Duplicates","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://sanatkaravani.com/dogu-asyanin-ilginc-mimarisi-bilim-cagi-guangzhou/","400","112","3,571","29,780","Very Hard","","","","","","tr","3bc01b28ecd5a236d85b538091376f0c","Indexable",""
"https://sanatkaravani.com/bir-ortacag-kilisesi-bernardine/","487","124","3,927","38,165","Hard","","","","","","tr","68b65db77305553285b5e12a95fb484f","Indexable",""
"https://sanatkaravani.com/thomas-jorionun-gozunden-terk-edilmis-saraylar/","360","102","3,529","39,458","Hard","","","","","","tr","fd935f29a72ba60ec8bd24a2e858b983","Indexable",""
"https://sanatkaravani.com/category/mimari/page/2/","256","64","4,000","46,794","Hard","","","","","","tr","9a69978e11c9c7f7c2bdfd6f24f3ea81","Indexable",""
"https://sanatkaravani.com/avrupanin-en-bilinen-15-kilisesi/","998","221","4,516","32,458","Hard","","","","","","tr","70d08ef2f296d9de7e615824126380b6","Indexable",""
"https://sanatkaravani.com/author/utkukahraman/","296","86","3,442","51,576","Fairly Hard","","","","","","tr","e35ce3df6ea2b5b0bd9e34f8012bfcfb","Indexable",""
"https://sanatkaravani.com/eyfel-kulesini-satan-bir-dolandirici-victor-lustig/","749","158","4,741","33,501","Hard","","","","","","tr","6edf96eb4dbaa76e9ae0bedf242dbba4","Indexable",""
"https://sanatkaravani.com/etiyopyanin-kudusu-lalibela-kaya-oyma-kiliseleri/","610","140","4,357","24,475","Very Hard","","","","","","tr","4d3a3c7752f6987400b4843b594d1ea4","Indexable",""
"https://sanatkaravani.com/category/yasam/","441","112","3,938","49,753","Hard","","","","","","tr","a01d108c2a730dfb98d6fc395d709d1e","Indexable",""
"https://sanatkaravani.com/author/oykumkutuk/","273","85","3,212","73,421","Fairly Easy","","","","","","tr","d2d28b8e9c14a0c86b4bbeb415d28b9d","Indexable",""
"https://sanatkaravani.com/gecmisten-gunumuze-sanat-akimlari/","3286","630","5,216","19,108","Very Hard","","","","","","tr","24e480cf7ceff6069b956f5c394d1783","Indexable",""
"https://sanatkaravani.com/author/seymaizler/","215","67","3,209","52,478","Fairly Hard","","","","","","tr","5622e4ed5094d6503cbeee99fd5abb56","Indexable",""
"https://sanatkaravani.com/oyle-olmak-mi-oyle-gozukmek-mi-berlin-katedrali/","582","132","4,409","32,724","Hard","","","","","","tr","d0eb70578bdaf62732f525c14f38acba","Indexable",""
"https://sanatkaravani.com/kadimlerin-sistine-sapeli-amazonun-uyur-guzeli/","517","121","4,273","26,262","Very Hard","","","","","","tr","c27fa3d279db9db84be83064c68e6ffc","Indexable",""
"https://sanatkaravani.com/tag/sanat-karavani/","429","112","3,830","51,298","Fairly Hard","","","","","","tr","70f71d397879ba92ff26aa19d717bf0d","Indexable",""
"https://sanatkaravani.com/tag/fotograf/","447","103","4,340","41,747","Hard","","","","","","tr","a7002ccdfea5ec13e8853560041b33bb","Indexable",""
"https://sanatkaravani.com/tag/ferdinando-scianna/","99","27","3,667","27,932","Very Hard","","","","","","tr","6269e3d2c8bbd70985e1f8937cfa6411","Indexable",""
"https://sanatkaravani.com/tag/sanat/","429","112","3,830","48,932","Hard","","","","","","tr","aedcf136227ddd074b5dcbf2adb3357","Indexable",""
"https://sanatkaravani.com/tag/another-round/","98","28","3,500","45,305","Hard","","","","","","tr","19a7a79228c0ff463d77ec24ee7cdd4f","Indexable",""
"https://sanatkaravani.com/tag/korkutuk/","97","28","3,464","47,201","Hard","","","","","","tr","e28fefa534ee2dbef93fcbd19877803a","Indexable",""
"https://sanatkaravani.com/tag/film/","439","111","3,955","47,110","Hard","","","","","","tr","5f014496222a25200d74301b9262ce1","Indexable",""
"https://sanatkaravani.com/tag/muzik/","433","107","4,047","49,158","Hard","","","","","","tr","acca7ea37c2393ca6a50c71ce1ac4de8","Indexable",""
"https://sanatkaravani.com/tag/anna-maria-van-giersbergen/","101","27","3,741","51,428","Fairly Hard","","","","","","tr","9d6aa75c0f0ddbce2b6111e2cfe8e3cd","Indexable",""
"https://sanatkaravani.com/tag/anneke/","98","27","3,630","52,943","Fairly Hard","","","","","","tr","f5594131e8f2738d0823e8a59cab5ba","Indexable",""
"https://sanatkaravani.com/yil-biterken-2021-enleri/","678","258","2,628","76,394","Fairly Easy","","","","","","tr","ebedcd091672272bcf5dbdfcf3f3bf75","Indexable",""
"https://sanatkaravani.com/tag/edebiyat/","433","106","4,085","46,384","Hard","","","","","","tr","15234221e3e1ced3274e03531a701b4c","Indexable",""
"https://sanatkaravani.com/tag/alper-tuzcu/","102","27","3,778","35,459","Hard","","","","","","tr","325ef5d083fb79a840e4d8f28478fd4b","Indexable",""
"https://sanatkaravani.com/fotograflar-her-seyi-eskitir-robert-frank/","440","118","3,729","32,312","Hard","","","","","","tr","e7f8049c73279f7eb313b3a4c3c95c99","Indexable",""
"https://sanatkaravani.com/tag/louis-aragon/","100","27","3,704","43,182","Hard","","","","","","tr","194868bc18017c30893c00a02256688c","Indexable",""
"https://sanatkaravani.com/netflix-turkiye-ekim-2021-takvimi/","772","178","4,337","50,219","Fairly Hard","","","","","","tr","ed3012bfdf83e0a56e46086d558bc5f1","Indexable",""
"https://sanatkaravani.com/bir-intikam-hikayesi-alef/","1040","200","5,200","25,280","Very Hard","","","","","","tr","4b3a5b3fc4b76fe65da6e62974c1e85a","Indexable",""
"https://sanatkaravani.com/category/dizi/","422","116","3,638","56,396","Fairly Hard","","","","","","tr","9615f907243118d28385dcbea3af51ec","Indexable",""
"https://sanatkaravani.com/2021-drone-fotograf-yarismasindan-odullu-kareler/","667","198","3,369","52,861","Fairly Hard","","","","","","tr","9c8b8dbba69bbff5e337db270f1812fc","Indexable",""
