"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://sanatkaravani.com/tag/hakan-karatas/","200","OK","102","0","","","hakan karataş arşivleri - Sanat Karavanı","","hakan karataş","","","","https://sanatkaravani.com/tag/hakan-karatas/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/hakan-karatas/","https://sanatkaravani.com/tag/hakan-karatas/","","","","",""
"https://sanatkaravani.com/tag/milton-glaser/","200","OK","101","0","","","milton glaser arşivleri - Sanat Karavanı","","milton glaser","","","","https://sanatkaravani.com/tag/milton-glaser/","","1","0","15","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/milton-glaser/","https://sanatkaravani.com/tag/milton-glaser/","","","","",""
"https://sanatkaravani.com/tag/murat-mentes/","200","OK","102","0","","","murat menteş arşivleri - Sanat Karavanı","","murat menteş","","","","https://sanatkaravani.com/tag/murat-mentes/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/murat-mentes/","https://sanatkaravani.com/tag/murat-mentes/","","","","",""
"https://sanatkaravani.com/tag/mayakovski/","200","OK","99","0","","","Mayakovski arşivleri - Sanat Karavanı","","Mayakovski","","","","https://sanatkaravani.com/tag/mayakovski/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/mayakovski/","https://sanatkaravani.com/tag/mayakovski/","","","","",""
"https://sanatkaravani.com/tag/rus-siiri/","200","OK","143","0","","","rus şiiri arşivleri - Sanat Karavanı","","rus şiiri","","","","https://sanatkaravani.com/tag/rus-siiri/","","2","0","15","0","11","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/rus-siiri/","https://sanatkaravani.com/tag/rus-siiri/","","","","",""
"https://sanatkaravani.com/tag/vitaly-butyrin/","200","OK","99","0","","","Vitaly Butyrin arşivleri - Sanat Karavanı","","Vitaly Butyrin","","","","https://sanatkaravani.com/tag/vitaly-butyrin/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/vitaly-butyrin/","https://sanatkaravani.com/tag/vitaly-butyrin/","","","","",""
"https://sanatkaravani.com/tag/leyla-erbil/","200","OK","102","0","","","LEYLA ERBİL arşivleri - Sanat Karavanı","","LEYLA ERBİL","","","","https://sanatkaravani.com/tag/leyla-erbil/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/leyla-erbil/","https://sanatkaravani.com/tag/leyla-erbil/","","","","",""
"https://sanatkaravani.com/tag/tezer-ozluden-leyla-erbile-mektuplar/","200","OK","105","0","","","Tezer Özlü’den Leyla Erbil’e Mektuplar arşivleri - Sanat Karavanı","","Tezer Özlü’den Leyla Erbil’e Mektuplar","","","","https://sanatkaravani.com/tag/tezer-ozluden-leyla-erbile-mektuplar/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/tezer-ozluden-leyla-erbile-mektuplar/","https://sanatkaravani.com/tag/tezer-ozluden-leyla-erbile-mektuplar/","","","","",""
"https://sanatkaravani.com/tag/sergey-yesenin/","200","OK","107","0","","","Sergey Yesenin arşivleri - Sanat Karavanı","","Sergey Yesenin","","","","https://sanatkaravani.com/tag/sergey-yesenin/","","1","0","14","0","8","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/tag/sergey-yesenin/","https://sanatkaravani.com/tag/sergey-yesenin/","","","","",""
"https://sanatkaravani.com/author/sevilates/page/13/","200","OK","320","0","","","Sevil Ateş, Sanat Karavanı sitesinin yazarı - Sayfa 13 / 19","","","","","","https://sanatkaravani.com/author/sevilates/page/13/","","4","0","28","0","35","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/author/sevilates/page/13/","https://sanatkaravani.com/author/sevilates/page/13/","","","","",""
"https://sanatkaravani.com/fotograf-gerceklikle-yuz-yuze-gelmenin-baska-bir-yoludur-marketta-luskacova/","200","OK","907","0","","","Fotoğraf Gerçeklikle Yüz Yüze Gelmenin Başka Bir Yoludur / Marketta Luskacova - Sanat Karavanı","","Fotoğraf Gerçeklikle Yüz Yüze Gelmenin Başka Bir Yoludur / Marketta Luskacova","","","","https://sanatkaravani.com/fotograf-gerceklikle-yuz-yuze-gelmenin-baska-bir-yoludur-marketta-luskacova/","","8","0","27","0","9","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/fotograf-gerceklikle-yuz-yuze-gelmenin-baska-bir-yoludur-marketta-luskacova/","https://sanatkaravani.com/fotograf-gerceklikle-yuz-yuze-gelmenin-baska-bir-yoludur-marketta-luskacova/","","","","",""
"https://sanatkaravani.com/siyah-beyaz-bir-fotografin-siirsel-seklidir-larry-towel/","200","OK","629","0","","","""Siyah-Beyaz Bir Fotoğrafın Şiirsel Şeklidir” / Larry Towel - Sanat Karavanı","","“Siyah-Beyaz Bir Fotoğrafın Şiirsel Şeklidir” / Larry Towel","","","","https://sanatkaravani.com/siyah-beyaz-bir-fotografin-siirsel-seklidir-larry-towel/","","8","0","27","0","9","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/siyah-beyaz-bir-fotografin-siirsel-seklidir-larry-towel/","https://sanatkaravani.com/siyah-beyaz-bir-fotografin-siirsel-seklidir-larry-towel/","","","","",""
"https://sanatkaravani.com/author/sevilates/page/14/","200","OK","308","0","","","Sevil Ateş, Sanat Karavanı sitesinin yazarı - Sayfa 14 / 19","","","","","","https://sanatkaravani.com/author/sevilates/page/14/","","4","0","28","0","35","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/author/sevilates/page/14/","https://sanatkaravani.com/author/sevilates/page/14/","","","","",""
"https://sanatkaravani.com/fotografla-gercekligi-soyutlamak-giacomelli/","200","OK","737","0","","","Fotoğrafla Gerçekliği Soyutlamak / Giacomelli - Sanat Karavanı","","Fotoğrafla Gerçekliği Soyutlamak / Giacomelli","","","","https://sanatkaravani.com/fotografla-gercekligi-soyutlamak-giacomelli/","","8","0","27","0","9","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://sanatkaravani.com/fotografla-gercekligi-soyutlamak-giacomelli/","https://sanatkaravani.com/fotografla-gercekligi-soyutlamak-giacomelli/","","","","",""
