"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://sanatkaravani.com/category/sinema/","text/html; charset=UTF-8","200","OK","Indexable","","462394e66575007d38455b431921f345","42","https://sanatkaravani.com/category/sinema/","https://sanatkaravani.com/category/sinema/"
"https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min.js?ver=9.8.1","text/javascript","200","OK","Indexable","","","110","","https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/frontend/order-attribution.min.js?ver=9.8.1"
"https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.8.1","text/css","200","OK","Indexable","","","88","","https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.8.1"
"https://sanatkaravani.com/hakkimizda/","text/html; charset=UTF-8","200","OK","Indexable","","9f1685b979085f4f338fcde4ad8ba175","37","https://sanatkaravani.com/hakkimizda/","https://sanatkaravani.com/hakkimizda/"
"https://sanatkaravani.com/category/fotograf/","text/html; charset=UTF-8","200","OK","Indexable","","993f8bfefe45049ff2de6820d72afcd","44","https://sanatkaravani.com/category/fotograf/","https://sanatkaravani.com/category/fotograf/"
"https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.9.8.1","text/javascript","200","OK","Indexable","","","112","","https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.9.8.1"
"https://sanatkaravani.com/category/resim/","text/html; charset=UTF-8","200","OK","Indexable","","c01e8d4aad0b2dd16b0be7d789cd3270","41","https://sanatkaravani.com/category/resim/","https://sanatkaravani.com/category/resim/"
"https://sanatkaravani.com/wp-content/uploads/2022/05/sabine-weiss-a-life-as-a-photographer-exibart-street-photography-00-1038x733-min-20x12.jpg","image/jpeg","200","OK","Indexable","","","143","","https://sanatkaravani.com/wp-content/uploads/2022/05/sabine-weiss-a-life-as-a-photographer-exibart-street-photography-00-1038x733-min-20x12.jpg"
"https://sanatkaravani.com/wp-content/uploads/2022/02/luis-aragon-20x16.jpg","image/jpeg","200","OK","Indexable","","","74","","https://sanatkaravani.com/wp-content/uploads/2022/02/luis-aragon-20x16.jpg"
"https://sanatkaravani.com/category/gundem/","text/html; charset=UTF-8","200","OK","Indexable","","427ce9b21192bc1a74776b9f20187399","42","https://sanatkaravani.com/category/gundem/","https://sanatkaravani.com/category/gundem/"
"https://sanatkaravani.com/wp-content/uploads/2022/08/yeni-20x20.jpg","image/jpeg","200","OK","Indexable","","","67","","https://sanatkaravani.com/wp-content/uploads/2022/08/yeni-20x20.jpg"
"https://sanatkaravani.com/category/genel/","text/html; charset=UTF-8","200","OK","Indexable","","c29a9f3a91e4c9e44d0361e608d6ddf9","41","https://sanatkaravani.com/category/genel/","https://sanatkaravani.com/category/genel/"
"https://sanatkaravani.com/wp-content/uploads/2021/11/mw80225-1-20x16.jpg","image/jpeg","200","OK","Indexable","","","72","","https://sanatkaravani.com/wp-content/uploads/2021/11/mw80225-1-20x16.jpg"
"https://sanatkaravani.com/wp-content/uploads/2022/04/Only-Lovers-Left-Alive-227-min-min-20x12.jpg","image/jpeg","200","OK","Indexable","","","97","","https://sanatkaravani.com/wp-content/uploads/2022/04/Only-Lovers-Left-Alive-227-min-min-20x12.jpg"
"https://sanatkaravani.com/category/muzik/","text/html; charset=UTF-8","200","OK","Indexable","","99746d118822702b59de82f54544916c","41","https://sanatkaravani.com/category/muzik/","https://sanatkaravani.com/category/muzik/"
