"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://sanatkaravani.com/tag/zeotrop/","text/html; charset=UTF-8","200","OK","Indexable","","zeotrop arşivleri - Sanat Karavanı","34","290","","0","0","","0","zeotrop","7","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tag/zeotrop/","","","","","","70213","15406","15406","5,462","","103","28","3,679","42,115","Hard","1,618","6","2","","1","1","0","0,070","39","14","0","13","8","0","","","","","b8ae8c16e272ac10b3d00fc2d121fe0","0,479","","","","","tr","1.1","","https://sanatkaravani.com/tag/zeotrop/","2025-04-10 16:00:32"
"https://sanatkaravani.com/tag/zeus/","text/html; charset=UTF-8","200","OK","Indexable","","zeus arşivleri - Sanat Karavanı","31","266","","0","0","","0","zeus","4","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tag/zeus/","","","","","","70544","15483","15483","5,489","","98","27","3,630","29,635","Very Hard","1,590","6","2","","1","1","0","0,070","39","15","0","13","8","0","","","","","1ea04cd432b9e16882d8253715adaae9","0,480","","","","","tr","1.1","","https://sanatkaravani.com/tag/zeus/","2025-04-10 16:00:59"
"https://sanatkaravani.com/tag/zhanna-kadyrova/","text/html; charset=UTF-8","200","OK","Indexable","","Zhanna Kadyrova arşivleri - Sanat Karavanı","42","380","","0","0","","0","Zhanna Kadyrova","15","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tag/zhanna-kadyrova/","","","","","","70395","15381","15381","5,453","","98","26","3,769","30,356","Hard","1,579","4","2","","1","1","0","0,070","39","14","0","13","8","0","","","","","9ca6669d9c4c01d76a2259f54b8179d0","0,442","","","","","tr","1.1","","https://sanatkaravani.com/tag/zhanna-kadyrova/","2025-04-10 15:58:26"
"https://sanatkaravani.com/tag/zorba/","text/html; charset=UTF-8","200","OK","Indexable","","zorba arşivleri - Sanat Karavanı","32","274","","0","0","","0","zorba","5","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tag/zorba/","","","","","","70579","15442","15442","5,474","","100","28","3,571","41,624","Hard","1,533","4","2","","1","1","0","0,070","39","14","0","13","8","0","","","","","8858d85a886deee82a40739909e0c67","0,436","","","","","tr","1.1","","https://sanatkaravani.com/tag/zorba/","2025-04-10 15:57:19"
"https://sanatkaravani.com/tam-70-yil-oldu-yilan-hala-olmedi-yasar-kemal-yilani-oldurseler/","text/html; charset=UTF-8","200","OK","Indexable","","Tam 70 Yıl Oldu Yılan Hala Ölmedi! Yaşar Kemal / Yılanı Öldürseler - Sanat Karavanı","83","736","","0","0","","0","Tam 70 Yıl Oldu Yılan Hala Ölmedi! Yaşar Kemal / Yılanı Öldürseler","66","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tam-70-yil-oldu-yilan-hala-olmedi-yasar-kemal-yilani-oldurseler/","","","","","","115092","26255","26255","9,308","","633","152","4,164","35,012","Hard","4,757","3","1","","13","7","0","0,460","59","26","0","23","10","0","","","","","863fcd5812e4ab153076e8d03a1f9e","0,085","","","","","tr","1.1","","https://sanatkaravani.com/tam-70-yil-oldu-yilan-hala-olmedi-yasar-kemal-yilani-oldurseler/","2025-04-10 15:56:37"
"https://sanatkaravani.com/tanrilarin-golu-mashu-ve-japon-adalarinin-bilinen-ilk-sahipleri-ainular/","text/html; charset=UTF-8","200","OK","Indexable","","‘Tanrıların Gölü’ Mashu ve Japon Adalarının Bilinen İlk Sahipleri Ainular - Sanat Karavanı","90","774","","0","0","","0","‘Tanrıların Gölü’ Mashu ve Japon Adalarının Bilinen İlk Sahipleri Ainular","73","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tanrilarin-golu-mashu-ve-japon-adalarinin-bilinen-ilk-sahipleri-ainular/","","","","","","110716","25711","25711","9,115","","748","146","5,123","37,298","Hard","5,748","4","1","","9","5","0","0,330","39","17","0","22","9","0","","","","","e1fb866d243791e2df91fe3e2c192de9","0,517","","","","","tr","1.1","","https://sanatkaravani.com/tanrilarin-golu-mashu-ve-japon-adalarinin-bilinen-ilk-sahipleri-ainular/","2025-04-10 15:57:27"
"https://sanatkaravani.com/tanrinin-kapisi-babil-kulesi/","text/html; charset=UTF-8","200","OK","Indexable","","Tanrı’nın Kapısı / Babil Kulesi - Sanat Karavanı","48","409","","0","0","","0","Tanrı’nın Kapısı / Babil Kulesi","31","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tanrinin-kapisi-babil-kulesi/","","","","","","119562","26839","26839","9,515","","736","169","4,355","38,157","Hard","5,181","4","1","","15","8","0","0,520","60","28","0","22","9","0","","","","","f55713dc81ea25911cb4e5096d67a284","0,475","","","","","tr","1.1","","https://sanatkaravani.com/tanrinin-kapisi-babil-kulesi/","2025-04-10 15:57:44"
"https://sanatkaravani.com/tanrinin-yarattigi-sonsuzluk-zaman/","text/html; charset=UTF-8","200","OK","Indexable","","Tanrı'nın Yarattığı Sonsuzluk: Zaman - Sanat Karavanı","53","475","","0","0","","0","Tanrı’nın Yarattığı Sonsuzluk: Zaman","36","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tanrinin-yarattigi-sonsuzluk-zaman/","","","","","","118454","28093","28093","9,959","","1206","247","4,883","32,749","Hard","8,359","3","1","","11","6","0","0,390","58","25","0","23","10","0","","","","","4e570fbbea498a1a1b935d6bf7e4d2f5","0,548","","","","","tr","1.1","","https://sanatkaravani.com/tanrinin-yarattigi-sonsuzluk-zaman/","2025-04-10 15:56:54"
"https://sanatkaravani.com/tarihe-damga-vurmus-en-unlu-20-heykel/","text/html; charset=UTF-8","200","OK","Indexable","","Tarihe Damga Vurmuş En Ünlü 20 Heykel! - Sanat Karavanı","55","518","","0","0","","0","Tarihe Damga Vurmuş En Ünlü 20 Heykel!","38","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tarihe-damga-vurmus-en-unlu-20-heykel/","","","","","","394351","41422","41422","14,684","","1129","376","3,003","73,553","Fairly Easy","2,681","3","1","","26","14","0","0,910","67","33","0","25","12","0","","","","","fbe9a1471849208f397425c50cdc711e","0,067","","","","","tr","1.1","","https://sanatkaravani.com/tarihe-damga-vurmus-en-unlu-20-heykel/","2025-04-10 15:56:37"
"https://sanatkaravani.com/tarihi-algiyi-yeniden-sekillendiren-uraldaki-erken-sanat-eseri-shigir-idolu/","text/html; charset=UTF-8","200","OK","Indexable","","Tarihi Algıyı Yeniden Şekillendiren Ural'daki Erken Sanat Eseri: Shigir İdolü - Sanat Karavanı","94","796","","0","0","","0","Tarihi Algıyı Yeniden Şekillendiren Ural’daki Erken Sanat Eseri: Shigir İdolü","77","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/tarihi-algiyi-yeniden-sekillendiren-uraldaki-erken-sanat-eseri-shigir-idolu/","","","","","","122022","27357","27357","9,698","","801","162","4,944","30,187","Hard","5,625","3","1","","15","8","0","0,520","61","27","0","26","13","0","","","","","e6c71854de61b142a167bd57f7d852de","0,599","","","","","tr","1.1","","https://sanatkaravani.com/tarihi-algiyi-yeniden-sekillendiren-uraldaki-erken-sanat-eseri-shigir-idolu/","2025-04-10 15:56:47"
